country,region,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cabo Verde,Santiago,Praia ,151436,1,6284.594,908.616,378.59,0,0,378.59
Cabo Verde,Santiago,Ribeira GST,8415,2,666.468,157.3605,92.565,9.2565,0,101.8215
Cabo Verde,Santiago,S: Cruz,26360,2,1803.024,355.86,189.792,23.724,0,213.516
Cabo Verde,Santiago,São Lourenço dos Orgãos,7127,,,,,,,
Cabo Verde,Santiago,São Salvador do Mundo,8652,1,210.2436,41.5296,7.7868,0,0,7.7868
Cabo Verde,Santiago,Tarrafal,18314,2,1203.2298,296.6868,131.8608,16.4826,0,148.3434
Cabo Verde,Santiago,S. Domingos,14037,1,1052.775,210.555,140.37,0,0,140.37
Cabo Verde,Boa Vista,Boa Vista,14451,1,599.7165,86.706,36.1275,0,0,36.1275
Cabo Verde,SANTIAGO,Santa Catarina,45122.866885431,2,2138.82389036943,406.105801968879,162.442320787552,0,0,162.442320787552
Cabo Verde,SANTIAGO,São Miguel,14670.728426969,2,801.021772112507,154.042648483174,71.8865692921481,0,0,71.8865692921481
Cabo Verde,FOGO,São Filipe,21194.3220085925,2,837.175719339404,169.55457606874,52.9858050214813,0,0,52.9858050214813
Cabo Verde,FOGO,Mosteiros,9363.66955116244,2,365.183112495335,79.5911911848808,23.4091738779061,0,0,23.4091738779061
Cabo Verde,FOGO,Santa Catarina,5279.25068655721,3,633.510082386865,211.170027462288,190.05302471606,21.1170027462288,0,211.170027462288
Cabo Verde,MAIO,Maio,6980.18153134181,2,523.513614850636,104.702722970127,69.8018153134181,0,0,69.8018153134181
Cabo Verde,BRAVA,Brava,5697.79521067085,2,90.0251643285994,21.6516218005492,2.27911808426834,0,0,2.27911808426834
Cabo Verde,S. Antao ,Ribeira Grande,17017,2,13103.09,3063.06,850.85,0,0,850.85
Cabo Verde,S. Antao ,Porto Novo ,17431,3,10458.6,3486.2,3311.89,174.31,0,3486.2
Cabo Verde,S. Antao ,Paul,6099,2,4513.26,1219.8,365.94,0,0,365.94
Cabo Verde,S. Nicolau,Ribeira Brava,7182,1,5817.42,1220.94,143.64,0,0,143.64
Cabo Verde,S. Nicolau,Tarrafal,5242,1,4246.02,891.14,104.84,0,0,104.84
Cabo Verde,S. Vicente ,S. Vicente,81014,1,65621.34,14582.52,810.14,0,0,810.14
Cabo Verde,Sal,Sal,33747,1,27672.54,5736.99,337.47,0,0,337.47
